Gene
C1orf112
CFH
CFTR
ANKIB1
BAD
CD99
ABP1
CYP26B1
DBNDD1
ALS2
CASP10
ARF5
AK2
CD38
CAMKK1
CCDC132
ABCB5
ARX
CDC27
CALCR
CCDC109B
ACSM3
CIAPIN1
COPZ2
CREBBP
BZRAP1
ABCB4
ASB4
C19orf60
CRLF1
ABCC8
CCL18
CCL3
AP2B1
CX3CL1
BAIAP2L1
ALDH3B1
CCL26
DBF4
COX10
ARHGAP44
ARSD
ADIPOR2
CDKL3
CCDC124
CEACAM21
CD79B
CACNA2D2
CDKL5
CAMK1G
CDK11A
CYTH3
ADAM22
CYB561
CELSR3
AASS
CRY1
CSDE1
BAZ1B
CD9
BTK
CLCN6
BTBD7
APBA3
ABHD5
AKAP8L
ANLN
DCN
CEP68
BRCA1
ALOX5
CLDN11
CLK1
ANGEL1
CD6
CAPN1
ACPP
CCDC88C
BID
CHDH
CLCA1
CLCA4
ATP2C1
CNTN1
AGPS
CXorf56
CYP24A1
CD74
AQR
CPS1
C8B
ALAS1
BIRC3
AKAP11
ABCC2
CCDC28A
CD44
AGPAT4
BTN3A1
BRD9
ARNTL2
BCLAF1
ANK1
BAK1
ARHGAP31
CENPQ
ARID4A
ALG1
ABCF2
ATP6V0A1
APBA2
ASTE1
ADSS
CUL3
AGA
CLEC16A
CDH1
C6
CTNS
CDH10
AIFM2
CAPG
AP2S1
BARX2
DCUN1D1
ADRB1
CUL7
CTNNA1
CTPS2
ATP6V1H
CP
ANO2
C12orf4
CC2D2A
CELF2
COL9A2
ADAMTS6
ARID1B
CLPTM1L
ARHGEF5
CCDC90A
COL23A1
BCAR1
CYBA
ALX4
AKR7A2
ANAPC4
ARID4B
ATP9A
CBLN4
CHRDL2
CUL1
CYFIP2
CCDC85A
C4orf27
DCBLD2
ATG5
ATP11B
CDK14
CAMK2B
CROCC
ATP2B4
ALDH18A1
CDK17
CTDP1
CSDA
CCAR1
CREB3L3
COL11A1
ACAA1
BCAT1
CDH3
ARSF
CS
APPBP2
CA11
AHRR
ADCK1
CASP8
ATP2C2
CDON
CTSA
CNN2
ABCA7
BTBD1
BCAS1
CHI3L2
CALCRL
ANKS1A
AP3D1
CYB5R4
COL17A1
ASB1
CDK13
CTNNA2
ASPM
CD84
CLDN18
ATXN3
ATG2B
ARFGEF1
ACSM2B
ATP2B3
CBFB
COASY
ACSL4
ATP11A
CYFIP1
BCL3
ABCC9
CLEC2D
ATP1B3
CECR5
DAPP1
C14orf101
CLTCL1
ASNS
AP3M2
CNGB1
C16orf80
CSNK2A2
CAMK2A
CDC42
ATP2B1
ARHGAP10
ATP6AP1
DAZAP1
CPSF1
CYBRD1
CDH19
ACTN1
ALDH3A2
AFF4
ACADVL
ACAP1
CRMP1
AP1M1
CYP2W1
CD5L
CLASP1
CLNS1A
CDHR2
C17orf85
ATP2A3
CA12
BCS1L
C19orf10
ANO8
ARHGEF10L
ACTR6
ACAT1
CELSR1
ADD2
CACNG5
CACNG4
ACTB
ATP12A
BCAP29
ARHGAP15
BAZ2A
ANKRD13A
ACACB
ARHGEF1
CTTNBP2
ACTL6B
CAPN6
